127.0.0.1 - - [29/Jan/2015:11:37:08 +0800] "GET / HTTP/1.1" 200 11418
192.168.0.121 - - [29/Jan/2015:11:42:11 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:42:28 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:42:28 +0800] "GET /videotest/history/history.css HTTP/1.1" 200 1209
192.168.0.121 - - [29/Jan/2015:11:42:28 +0800] "GET /videotest/swfobject.js HTTP/1.1" 200 10220
192.168.0.121 - - [29/Jan/2015:11:42:28 +0800] "GET /videotest/history/history.js HTTP/1.1" 200 26166
192.168.0.121 - - [29/Jan/2015:11:42:29 +0800] "GET /videotest/VideoTest.swf HTTP/1.1" 200 258647
192.168.0.121 - - [29/Jan/2015:11:42:30 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:42:37 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:42:40 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:42:41 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:42:54 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:42:56 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:42:57 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:43:45 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:44:30 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:44:30 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:55:37 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:55:37 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:55:37 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:55:37 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:55:37 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:55:51 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:55:52 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:55:54 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:55:54 +0800] "GET /videotest/VideoTest1.jsp HTTP/1.1" 404 -
192.168.0.121 - - [29/Jan/2015:11:56:02 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:02 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:56:03 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:56:07 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:07 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:56:08 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:56:18 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:18 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:56:19 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:56:26 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:26 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:56:27 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:27 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:56:28 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:56:33 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:56:33 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:34 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:38 +0800] "GET /videotest/VideoTest1.jsp HTTP/1.1" 404 -
192.168.0.121 - - [29/Jan/2015:11:56:44 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:44 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:56:44 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:56:45 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:45 +0800] "GET /videotest/VideoTest1.jsp HTTP/1.1" 404 -
192.168.0.121 - - [29/Jan/2015:11:56:46 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:51 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:56:52 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:56:54 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:56:54 +0800] "GET /videotest/VideoTest1.jsp HTTP/1.1" 404 -
192.168.0.121 - - [29/Jan/2015:11:57:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:15 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:11:57:16 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:57:25 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:25 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:57:26 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:57:30 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:11:57:30 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:11:57:31 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:11:57:42 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
