127.0.0.1 - - [03/Feb/2015:10:19:32 +0800] "GET / HTTP/1.1" 200 11418
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:47 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:48 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:19:48 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:48 +0800] "GET /videotest/history/history.css HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:19:48 +0800] "GET /videotest/swfobject.js HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:19:48 +0800] "GET /videotest/history/history.js HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:19:48 +0800] "GET /videotest/VideoTest.swf HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:19:49 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:19:49 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:19:50 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:50 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:19:57 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:57 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:19:58 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:19:59 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:00 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:00 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:07 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:07 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:09 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:09 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:09 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:10 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:10 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:10 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:11 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:11 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:11 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:14 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:14 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:14 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:20:16 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:16 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:16 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:16 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:16 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:17 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:20:31 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:20:31 +0800] "GET /videotest/history/history.js HTTP/1.1" 200 26166
192.168.0.181 - - [03/Feb/2015:10:20:31 +0800] "GET /videotest/history/history.css HTTP/1.1" 200 1209
192.168.0.181 - - [03/Feb/2015:10:20:31 +0800] "GET /videotest/swfobject.js HTTP/1.1" 200 10220
192.168.0.181 - - [03/Feb/2015:10:20:31 +0800] "GET /videotest/VideoTest.swf HTTP/1.1" 200 258647
192.168.0.181 - - [03/Feb/2015:10:20:31 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:21:09 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:21:10 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:21 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:22 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:23 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:23 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:23 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:25 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:26 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:26 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:26 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:26 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:27 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:27 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:27 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:27 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:28 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:28 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:28 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:28 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:28 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:28 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:29 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:29 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:29 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:30 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:30 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:31 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:32 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:32 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:22:33 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:33 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:22:34 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:22:35 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:17 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:17 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/history/history.css HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/history/history.js HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/swfobject.js HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/VideoTest.swf HTTP/1.1" 304 -
192.168.0.181 - - [03/Feb/2015:10:34:22 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:34:23 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:34:23 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:34:23 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:34:30 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:30 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:34:31 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:31 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:34:31 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.181 - - [03/Feb/2015:10:34:31 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:31 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.181 - - [03/Feb/2015:10:34:31 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.181 - - [03/Feb/2015:10:34:32 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
